Scenario,N_Params,Difficulty,WCS_Error,WCS_Time,WCS_Iter,WCS_Converged,WCS_F_Error,WCS_F_Time,WCS_F_Iter,WCS_F_Converged,BRO_Cost,BRO_Time,BRO_Iter,BRO_Converged,AdamW_Cost,AdamW_Time,AdamW_Iter,AdamW_Converged
Small Easy,5,easy,0.08206261211022436,0.5445613861083984,2,True,1.9934193422005855,0.0052165985107421875,14,False,1.5876235805594563e-07,0.008646011352539062,10,True,11.176613526382226,0.024978160858154297,51,False
Small Medium,5,medium,0.4127632773233838,0.017059326171875,50,False,15.721897226145263,0.011502265930175781,50,False,0.008673139145670878,0.010833024978637695,16,True,462.86477491831573,0.0400698184967041,51,False
Small Hard,5,hard,7.671002803333408,0.0008358955383300781,1,True,774.3627644761065,0.004281520843505859,8,False,1609110.7607888132,0.03144502639770508,51,False,907801117846.869,0.030127286911010742,51,False
Medium Easy,10,easy,0.27676687778555475,0.0066645145416259766,1,True,8.431989148348563,0.010301828384399414,8,False,1.463007454788209e-07,0.010008811950683594,10,True,10.248427669801842,0.030256986618041992,51,False
Medium Medium,10,medium,0.04050391132675557,0.009296894073486328,1,True,11.880467735248939,0.004484415054321289,2,False,0.006624812467640049,0.018857717514038086,19,True,941.6032336858804,0.04375028610229492,51,False
Medium Hard,10,hard,2.652277060123538,0.00795435905456543,1,True,1665.862675234422,0.007626533508300781,15,False,1704125.5837581204,0.04154396057128906,51,False,839499472988.6371,0.05481529235839844,51,False
Large Easy,20,easy,0.12327306644887415,0.5516085624694824,2,True,13.0103131763031,0.019575119018554688,4,False,1.2389380418509418e-07,0.0087738037109375,10,True,8.392690055553981,0.02382636070251465,51,False
Large Medium,20,medium,0.16529116942997746,0.48023152351379395,2,True,45.08675889100749,0.0025031566619873047,3,False,0.005256166778598147,0.020718812942504883,31,True,1671.6509510649394,0.024709463119506836,51,False
